,name,f1,tn,fn,fp,tp,tnr,fnr,fpr,tpr
620,ORI,0.7062937062937062,0,84,0,101,0.0,1.0,0.0,1.0
621,OVLY,0.5069124423963134,23,79,28,55,0.22549019607843138,0.7745098039215687,0.3373493975903614,0.6626506024096386
622,PACD,0.0,103,0,71,0,1.0,0.0,1.0,0.0
623,OTEL,0.0,118,0,65,0,1.0,0.0,1.0,0.0
624,PDM,0.6785714285714285,0,90,0,95,0.0,1.0,0.0,1.0
625,PBFS,0.608695652173913,0,25,2,21,0.0,1.0,0.08695652173913043,0.9130434782608695
626,PCH,0.23437499999999997,72,20,78,15,0.782608695652174,0.21739130434782608,0.8387096774193549,0.16129032258064516
627,PBCTP,0.7017543859649124,0,85,0,100,0.0,1.0,0.0,1.0
628,PBTS,0.6153846153846153,1,36,4,32,0.02702702702702703,0.972972972972973,0.1111111111111111,0.8888888888888888
629,PCF,0.6027397260273972,32,64,23,66,0.3333333333333333,0.6666666666666666,0.25842696629213485,0.7415730337078652
630,PD,0.6407766990291262,0,37,0,33,0.0,1.0,0.0,1.0
631,PCAR,0.3835616438356165,67,29,61,28,0.6979166666666666,0.3020833333333333,0.6853932584269663,0.3146067415730337
632,PFG,0.6553191489361702,27,68,13,77,0.28421052631578947,0.7157894736842105,0.14444444444444443,0.8555555555555555
633,PEI,0.46153846153846156,45,52,46,42,0.4639175257731959,0.5360824742268041,0.5227272727272727,0.4772727272727273
634,PED,0.02469135802469136,105,1,78,1,0.9905660377358491,0.009433962264150943,0.9873417721518988,0.012658227848101266
635,PFD,0.3625,54,29,73,29,0.6506024096385542,0.3493975903614458,0.7156862745098039,0.28431372549019607
636,PEP,0.6832740213523132,0,89,0,96,0.0,1.0,0.0,1.0
637,PFE,0.4258064516129032,63,37,52,33,0.63,0.37,0.611764705882353,0.38823529411764707
638,PFL,0.5792349726775956,55,42,35,53,0.5670103092783505,0.4329896907216495,0.3977272727272727,0.6022727272727273
639,PETZ,0.0,97,0,88,0,1.0,0.0,1.0,0.0
640,PFSW,0.0,88,0,97,0,1.0,0.0,1.0,0.0
641,PG,0.7152777777777777,0,82,0,103,0.0,1.0,0.0,1.0
642,PECK,0.21276595744680854,42,5,32,5,0.8936170212765957,0.10638297872340426,0.8648648648648649,0.13513513513513514
643,PER,0.2764227642276423,79,41,48,17,0.6583333333333333,0.3416666666666667,0.7384615384615385,0.26153846153846155
644,PLAN,0.7314285714285714,0,47,0,64,0.0,1.0,0.0,1.0
645,PICO,0.5798319327731092,16,83,17,69,0.16161616161616163,0.8383838383838383,0.19767441860465115,0.8023255813953488
646,PGP,0.6738351254480287,0,91,0,94,0.0,1.0,0.0,1.0
647,PK,0.5,53,48,40,44,0.5247524752475248,0.4752475247524752,0.47619047619047616,0.5238095238095238
648,PH,0.6052631578947368,26,66,24,69,0.2826086956521739,0.717391304347826,0.25806451612903225,0.7419354838709677
649,PGZ,0.6738351254480287,0,91,0,94,0.0,1.0,0.0,1.0
650,PHI,0.5454545454545454,33,61,34,57,0.35106382978723405,0.648936170212766,0.37362637362637363,0.6263736263736264
651,PGEN,0.21052631578947364,83,14,76,12,0.8556701030927835,0.14432989690721648,0.8636363636363636,0.13636363636363635
652,PHX,0.0,109,0,76,0,1.0,0.0,1.0,0.0
653,PKI,0.5566037735849056,32,57,37,59,0.3595505617977528,0.6404494382022472,0.3854166666666667,0.6145833333333334
654,PKBK,0.563380281690141,32,61,32,60,0.34408602150537637,0.6559139784946236,0.34782608695652173,0.6521739130434783
655,PKO,0.6203703703703703,36,47,35,67,0.43373493975903615,0.5662650602409639,0.3431372549019608,0.6568627450980392
